店名,住所,台数
モーリーファンタジー熊本,熊本県上益城郡嘉島町上島字長池２２３２イオン２Ｆ,0台
イオン菊陽,熊本県菊池郡菊陽町津久礼２４７２　玩具売場,0台
イオン熊本,熊本県上益城郡嘉島町上島字長池２２３２　イオン２Ｆ玩具売場,0台
モーリーファンタジーあらおシティモール,熊本県荒尾市緑ヶ丘１−１−１あらおシティーモール２Ｆ,0台
モーリーファンタジー熊本中央,熊本県熊本市中央区大江４−２−１,0台
ペリカンはません,熊本県熊本市田井島１−２−１ゆめタウンはません内２Ｆ,0台
イオン天草,熊本県天草市亀場町食場後山下７４０　玩具売場,0台
イオン八代,熊本県八代市沖町六番割３９８７−３　玩具売場,0台
イオン大津,熊本県菊池郡大津町大字室１３７　玩具売場,0台
イオン錦,熊本県球磨郡錦町大字西字打越７１５−１　玩具売場,0台
トイザらス熊本,熊本県熊本市上南部２−２−２　ゆめタウンサンピアン１Ｆ,0台
モーリーファンタジー八代,熊本県八代市沖町六番割３９８７−３イオン２Ｆ,0台
モーリーファンタジー天草,熊本県天草市亀場町食場後山下７４０　イオン２Ｆ,0台
タイトーステーションゆめタウン光の森,熊本県菊池郡菊陽町津久礼３３１０,0台
ペリカンあらお,熊本県荒尾市緑ケ丘１丁目１−１−２Ｆあらおシティモール　玩具売場,0台
ＦＥＳＴＡ山鹿,熊本県山鹿市方保田字鳥越３４６８−１　Ｍｒ．Ｍａｘ山鹿ショッピングセンター内,0台
モーリーファンタジー田崎,熊本県熊本市西区田崎町字下寄３８０番地イオンタウン１階,0台
ＦＥＳＴＡ人吉,熊本県人吉市宝来町１３０７−１　人吉レックス内,0台
ＦＥＳＴＡカリーノ下通,熊本県熊本市中央区安政町１−２カリーノ下通店Ｂ１Ｆ,0台
パスカランドはません,熊本県熊本市南区田井島１丁目２−１ゆめタウンはません３階,0台
ミスターマックス熊本南,熊本県熊本市南区十弾寺３丁目４番１４号,0台
楽市楽座イオンモール熊本,熊本県上益城郡嘉島町大字上島字長池２２３２,0台
パスカワールドグリーンランド,熊本県荒尾市本井手１５７４番５４,0台
パスカワールド宇土,熊本県宇土市善道寺町綾織９５宇土シティモール内,0台
ピノキオランド玉名,熊本県玉名市亀甲字前田１１０カリーノ玉名店２Ｆ,0台
