店名,住所,台数
モーリーファンタジー挾間,大分県由布市挾間町北方７７番地　玩具売場,0台
モーリーファンタジーパークプレイス大分,大分県大分市公園通り西２丁目−１イオン２Ｆ,0台
イオン狭間,大分県由布市挾間町北方７７番地イオン２Ｆ,0台
ペリカン中津,大分県中津市大字島田１３４−１ゆめタウン中津内３Ｆ　玩具売場,0台
イオン三光,大分県中津市三光佐知１０３２　玩具売場,0台
ペリカン別府,大分県別府市楠町３８２−７ゆめタウン別府内３Ｆ　玩具売場,0台
プラサカプコン大分,大分県大分市公園通り西２丁目１番　パークプレイス大分２Ｆ,0台
イオンパークプレイス大分,大分県大分市公園通り西２−１　玩具売場,0台
トイザらス大分,大分県大分市大字宮崎５２５,0台
イオン高城,大分県大分市高城西町２８−１　玩具売場,0台
タイトーステーションアミュプラザおおいた,大分県大分市要町１−１４　アミュプラザおおいた４Ｆ,0台
モーリーファンタジー日田,大分県日田市南元町１４−２２ダイエー日田店２Ｆ,0台
ユーズランド三光,大分県中津市三光佐知１０３２イオンモール三光２Ｆ,0台
ＦＥＳＴＡコスモタウン佐伯,大分県佐伯市鶴岡西町２丁目１６３番地　コスモタウン佐伯内,0台
ＦＥＳＴＡフリーモールわさだ,大分県大分市大字木上字鉾手２１０２番地　フリーモールわさだ内,0台
ミスターマックス宇佐,大分県宇佐市大字法鏡寺５００,0台
セガワールド高城,大分県大分市牧１−１６１−８,0台
セガワールド中津,大分県中津市沖代町１−２−１６,0台
