店名,住所,台数
あひるのたまご八幡,京都府八幡市欽明台北３−１　スーパーセンタームサシ八幡店内２Ｆフードコート内プレビプレイランドコーナー　あ,0台
モーリーファンタジー京都桂川,京都府京都市南区久世高田町３７６番イオン３階,0台
プラサカプコン京都,京都府京都市右京区西院追分町２５−１　イオンモール京都ハナ３Ｆ,0台
ＴＨＥ３ＲＤＰＬＡＮＥＴＢｉＶｉ京都二条,京都府京都市中京区西ノ京栂尾町１−６,0台
モーリーファンタジー高の原,京都府木津川市相楽台１−１−１,0台
モーリーファンタジー久御山,京都府久世郡久御山町森南大内１５６−１イオン２Ｆ,0台
イズミヤ八幡,京都府八幡市八幡一ノ坪２３−１　玩具売場,0台
アル・プラザ京田辺,京都府京田辺市田辺中央５−２−１　玩具売場,0台
アル・プラザ城陽,京都府城陽市富野荒見田１１２　玩具売場,0台
アピタ精華台,京都府相楽郡精華町精華台９丁目２番地４　玩具売場,0台
モーリーファンタジー福知山,京都府福知山市岩井７９−８イオン２Ｆ,0台
ビックカメラＪＲ京都駅,京都府京都市下京区東塩小路町９２７　トイズコーナー,0台
アル・プラザ亀岡,京都府亀岡市篠町野条上又１１−１　玩具売場,0台
トイザらス向日市,京都府向日市鶏冠井町西金村５　むこうしステーションパーク内,0台
ライフ太秦,京都府京都市右京区太秦安井池田町６　玩具売場,0台
セガワールド六地蔵,京都府京都市伏見区桃山町山ノ下３２　京都ショッピングセンタービルＡＭ棟２Ｆ,0台
ヨドバシカメラマルチメディア京都,京都府京都市下京区烏丸通り七条下ル東塩小路町５９０−２　玩具売場,0台
北大路ビブレ４Ｆゲームコーナー,京都府京都市北区小山北上総町４９−１北大路ビブレ４Ｆ,0台
モーリーファンタジー洛南,京都府京都市南区吉祥院御池町３１イオン２Ｆ,0台
アル・プラザ醍醐,京都府京都市伏見区醍醐高畑町１−３７玩具売場,0台
大丸京都,京都府京都市下京区四条通高倉西入立売西町７９番地玩具売り場,0台
モーリーファンタジー京都五条,京都府京都市右京区西院追分町２５−１　イオン２Ｆ,0台
モーリーファンタジー桂南,京都府京都市南区久世上久世町４８５Ｆ,0台
イオン福知山,京都府福知山市岩井７９−８玩具売場,0台
イオン洛南,京都府京都市南区吉祥院御池町３１玩具売場,0台
イオン高の原,京都府木津川市相楽台１−１−１,0台
イオン京都五条,京都府京都市右京区西院追分町２５−１玩具売場,0台
イオン伏見,京都府京都市伏見区御堂前町６１６玩具売場,0台
エール東舞鶴,京都府舞鶴市南浜町２７−５　玩具売場,0台
アル・プラザ木津,京都府木津川市相楽城西１５番地　玩具売場,0台
イズミヤ高野,京都府高野高野東開町１６　玩具売場,0台
イズミヤ長岡,京都府長岡開田４−７−１　玩具売場,0台
イズミヤ大久保,京都府城陽市平川室木８５番地　玩具売場,0台
楽市楽座イオンモール京都桂川,京都府京都市南区久世高田町３７６番１イオンモール京都桂川店３階,0台
ジョーシン長岡京,京都府長岡京市神足四ノ坪１−２,0台
ジョーシン亀岡,京都府亀岡市余部町樋又８０,0台
ジョーシン宇治,京都府宇治市宇治樋ノ尻７９−１ホームセンターコーナン２階,0台
エディオン伏見,京都府京都市伏見区横大路芝生１,0台
ライフ壬生,京都府京都市中京区壬生西桧町２３　玩具売場,0台
ライフ二条駅前,京都府京都市中京区西ノ京星池町２４８　玩具売場,0台
フレンドマート木津川,京都府木津川市州見台１−１−１−１　玩具売場,0台
モーリーファンタジー綾部,京都府綾部市綾中町花ノ木３０バザールタウン綾部店２Ｆ,0台
