店名,住所,台数
アピタ魚津,富山県魚津市住吉６００番地玩具売場,0台
モーリーファンタジー高岡南,富山県高岡市下伏間江３８３イオン２Ｆ,0台
ユーズランド高岡,富山県高岡市下伏間江３８３イオンモール高岡２Ｆ,0台
モーリーファンタジー高岡,富山県高岡市江尻３３１－１イオン１Ｆ,0台
おもちゃのバンビ高岡駅南,富山県高岡市赤祖父３８７,0台
アピタ黒部,富山県黒部市前沢字北１０１７番地４玩具売場,0台
モーリーファンタジー小杉,富山県射水市三ヶ２６０２アル・プラザ小杉２Ｆ,0台
アピタ砺波,富山県砺波市太郎丸３丁目６９番地玩具売場,0台
ユーズランドとなみ,富山県砺波市中神地区画事業３１街区１イオンモールとなみ２Ｆ区画番号２０５,0台
イオンとなみ,富山県砺波市中神土地区画整理事業地内３１街区１２Ｆ,0台
モーリーファンタジーとなみ,富山県砺波市中神土地区画整理事業地内３１街区１２Ｆ,0台
ＰＩＣＯ氷見,富山県氷見市幸町９－７８ハッピータウン氷見店２Ｆ,0台
トイザらス富山,富山県富山市五福１１４３－１五福ショッピングセンターアリス２Ｆ,0台
アピナ富山新庄,富山県富山市荒川３－２－１２,0台
アピタ富山,富山県富山市上袋１００番６８玩具売場,0台
アピタ富山東,富山県富山市上冨居３－８－３８玩具売場,0台
アル・プラザ富山,富山県富山市婦中町下轡田１６５－１玩具売場,0台
アピナ富山南,富山県富山市堀川町３５５－３マイプラザ内,0台
おもちゃのバンビ本郷,富山県富山市本郷１６－８玩具売場,0台
