店名,住所,台数
モーリーファンタジー橿原,奈良県橿原市曲川町７－２０－１イオン２Ｆ,0台
ＳＯＹＵＧａｍｅＦｉｅｌｄ奈良橿原,奈良県橿原市曲川町７－２０－１イオンモール奈良橿原３Ｆ,0台
イオン五條,奈良県五條市今井２－１５０玩具売場,0台
ライフ御所,奈良県御所市東松本３０玩具売場,0台
モーリーファンタジー桜井,奈良県桜井市上之庄２７８－１イオン２Ｆ,0台
モーリーファンタジー登美ヶ丘,奈良県生駒市鹿畑町３０２７番地イオンモール奈良登美ヶ丘２Ｆ,0台
モーリーファンタジー大和郡山,奈良県大和郡山市下三橋７４１イオン３Ｆ,0台
楽市楽座イオンモール大和郡山,奈良県大和郡山市下三橋町７４１イオンモール大和郡山店３階,0台
アピタ大和郡山,奈良県大和郡山市田中町字宮西５１７番玩具売場,0台
イオン大和郡山,奈良県大和郡山市下三橋町７４１玩具売場,0台
ハローズガーデン大和郡山,奈良県大和郡山市田中町字宮西５１７アピタ大和郡山店２Ｆ,0台
モーリーファンタジー大和高田,奈良県大和高田市幸町３番地６,0台
モーリーファンタジー天理,奈良県天理市東井戸堂町３８１ザ・ビッグエクストラ１Ｆ,0台
西友王寺,奈良県北葛城郡王寺町久度２－２－１玩具売場,0台
アピタ西大和,奈良県北葛城郡上牧町上牧３０００－１玩具売場,0台
