店名,住所,台数
エミフルＭＡＳＡＫＩ,愛媛県伊予郡松前町筒井８５０番玩具売場,0台
フォレストハンター松前,愛媛県伊予郡松前町筒井８５０番地エミフルＭＡＳＡＫＩＡＭ棟１Ｆ,0台
フジグラン北宇和島,愛媛県宇和島市伊吹町甲９１２－２玩具売場,0台
ふぇすたらんど今治,愛媛県今治市馬越町４－８－１イオン今冶店３Ｆ,0台
ハローズ今治,愛媛県今治市土橋町１－４－２６,0台
楽市楽座イオンモール今治,愛媛県今治市にぎわい広場１－１イオンモール今治新都市店２階２０２３,0台
フジグラン今治,愛媛県今治市東門町５－１３－１玩具売場,0台
フジグラン川之江,愛媛県四国中央市妻鳥町１１３６－１玩具売場,0台
ふぇすたらんど川之江,愛媛県四国中央市妻鳥町上樋ノ上１７９５－１イオン川之江店内,0台
ポップンパーク三島,愛媛県四国中央市寒川町字神ノ木３５－５,0台
フジグラン松山,愛媛県松山市宮西１－２－１玩具売場,0台
モーリーファンタジー南松山,愛媛県松山市朝生田町５丁目１番２５号,0台
モーリーファンタジー松山,愛媛県松山市天山１丁目１３番５号,0台
イオン松山,愛媛県松山市天山１丁目１３番５号,0台
アミパラ松山,愛媛県松山市生石町６５５－１,0台
タイトーステーション衣山,愛媛県松山市衣山１丁目１８８パルティフジ内,0台
ポップンパーク東石井,愛媛県松山市東石井６丁目１６番３９号,0台
プラサカプコン新居浜,愛媛県新居浜市前田町８－８イオンモール新居浜２Ｆ,0台
モーリーファンタジー新居浜,愛媛県新居浜市前田町８番８号,0台
ポップンパーク若水,愛媛県新居浜市若水町２丁目６－５,0台
フジグラン新居浜,愛媛県新居浜市新須賀町２－１０－７玩具売場,0台
フジグラン西条,愛媛県西条市新田字北新田２３５玩具売場,0台
フジグラン大洲,愛媛県大洲市中村２４６－１玩具売場,0台
フジグラン重信,愛媛県東温市野田３－１－１３玩具売場,0台
フジグラン北浜,愛媛県八幡浜市北浜一丁目４番３３号玩具売場,0台
